author_id,author_name,work_id,wikidot_id,page_title,source_url,original_source_url,source_site,creation_date,modification_date,eligible_date_flag,authorship_status,language,translation_flag,coauthor_flag,inclusion_status,exclusion_reason,raw_filename,raw_format,raw_byte_size,SHA256,access_date,license_note,tags,acquisition_error
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21396179,21396179,网站的版式（SCP-Sigma-9）,https://scp-wiki-cn.wikidot.com/component:theme,https://scp-wiki-cn.wikidot.com/component:theme,SCP-CN via SCPPER-CN,2014-02-03,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21396179.json,SCPPER-CN JSON bundle,753,79eb73fcc492400d5a6b144512034a7d72bfc43521645dc6f9256ca51dc3a54f,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,版式|管理,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21396933,21396933,SCP系列 3,https://scp-wiki-cn.wikidot.com/scp-series-3,https://scp-wiki-cn.wikidot.com/scp-series-3,SCP-CN via SCPPER-CN,2014-02-03,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21396933.json,SCPPER-CN JSON bundle,1214,86a3c9c8913f14f74b43305b9e5611ce866ec832d9896acbfe6b03b72a119cd0,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,中心,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21396939,21396939,基金会故事,https://scp-wiki-cn.wikidot.com/foundation-tales,https://scp-wiki-cn.wikidot.com/foundation-tales,SCP-CN via SCPPER-CN,2014-02-03,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21396939.json,SCPPER-CN JSON bundle,894,69cfeb347280bccacb66281b4e7e3231cfa00bdb2ed0de06342ab32d48066d4c,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,中心,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21397418,21397418,指导中心,https://scp-wiki-cn.wikidot.com/guide-hub,https://scp-wiki-cn.wikidot.com/guide-hub,SCP-CN via SCPPER-CN,2014-02-03,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21397418.json,SCPPER-CN JSON bundle,825,747840f99feaadd436f446798b02afef2066bdda9cd6499b460cdbe670c3105d,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,中心,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21397529,21397529,最近新增的页面,https://scp-wiki-cn.wikidot.com/most-recently-created,https://scp-wiki-cn.wikidot.com/most-recently-created,SCP-CN via SCPPER-CN,2014-02-03,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21397529.json,SCPPER-CN JSON bundle,1143,fae47275586dc1153c6943a40cbf771d40ba25455afdcf87c02898d01b34ccc3,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,中心,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21397569,21397569,最近修改的页面,https://scp-wiki-cn.wikidot.com/most-recently-edited,https://scp-wiki-cn.wikidot.com/most-recently-edited,SCP-CN via SCPPER-CN,2014-02-03,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21397569.json,SCPPER-CN JSON bundle,1197,6f769233a846f8c3707e331f7af6b79d0258999aa8c9544f5410dc76d4c1ef55,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,管理,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21397572,21397572,作者页,https://scp-wiki-cn.wikidot.com/authors-pages,https://scp-wiki-cn.wikidot.com/authors-pages,SCP-CN via SCPPER-CN,2014-02-03,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21397572.json,SCPPER-CN JSON bundle,789,85a789e74fde6f6a4e02082670f52d9234e8bc2708e6052a6d9189731472ca35,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,中心,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21402885,21402885,SCP系列 2,https://scp-wiki-cn.wikidot.com/scp-series-2,https://scp-wiki-cn.wikidot.com/scp-series-2,SCP-CN via SCPPER-CN,2014-02-04,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21402885.json,SCPPER-CN JSON bundle,787,26d8e610d285df4866a176e7752ebbbcfdb84268d67b8e600c0a474ed86c965a,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,中心,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21406201,21406201,等待解密[已锁],https://scp-wiki-cn.wikidot.com/scp-001,https://scp-wiki-cn.wikidot.com/scp-001,SCP-CN via SCPPER-CN,2014-02-04,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21406201.json,SCPPER-CN JSON bundle,1077,6157aa64bfd966bb1cbc33aefbc6cbbf6f87a5c0748c79c8907c6c828769d36a,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,中心,
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21406245,21406245,SCP-001的提案（已归档）,https://scp-wiki-cn.wikidot.com/archived:proposals-for-scp-001,https://scp-wiki-cn.wikidot.com/archived:proposals-for-scp-001,SCP-CN via SCPPER-CN,2014-02-04,,True,excluded_or_unverified,zh,True,True,excluded,not_marked_chinese_original,data/raw/deep_author/works/da-work-21406245.json,SCPPER-CN JSON bundle,772,d3a1a99228b89ab992fab2d6a9bb62898916c52d07f32db12707c6a692c73ca2,2026-08-14,CC BY-SA 3.0 unless a page records a different compatible notice,被归档,
